"gene","log2FoldChange","pvalue","padj"
"GENE.NODE_255237_length_875_cov_81115.915254_g113598_i1~~NODE_255237_length_875_cov_81115.915254_g113598_i1.p1",1.75206039276497,5.32447094973322e-07,2.53991590233081e-05
"GENE.NODE_267669_length_833_cov_166.911990_g131159_i0~~NODE_267669_length_833_cov_166.911990_g131159_i0.p1",6.48169866748688,0.000234095970940876,0.00354058743938877
"GENE.NODE_293899_length_752_cov_23602.605974_g151181_i0~~NODE_293899_length_752_cov_23602.605974_g151181_i0.p1",1.71347161349354,0.00575899093427381,0.0414365250881808
"GENE.NODE_27262_length_3645_cov_169.328142_g1521_i6~~NODE_27262_length_3645_cov_169.328142_g1521_i6.p1",-1.46135198915457,0.0119561346953411,0.0703209691088478
"GENE.NODE_99165_length_1848_cov_285.072818_g35012_i0~~NODE_99165_length_1848_cov_285.072818_g35012_i0.p1",-0.528873164041746,0.172167279808784,0.425585321471838
"GENE.NODE_159839_length_1326_cov_1523.270948_g8208_i41~~NODE_159839_length_1326_cov_1523.270948_g8208_i41.p1",-1.14301261230861,0.222924221991364,0.494030991345333
"GENE.NODE_240483_length_929_cov_30.887500_g111914_i0~~NODE_240483_length_929_cov_30.887500_g111914_i0.p1",-0.464699587379227,0.292650867000936,0.574537626261116
"GENE.NODE_28051_length_3599_cov_19.077465_g8694_i2~~NODE_28051_length_3599_cov_19.077465_g8694_i2.p1",-0.601453438571416,0.453796461538132,0.722019566386603
"GENE.NODE_79662_length_2106_cov_713.939718_g3_i38~~NODE_79662_length_2106_cov_713.939718_g3_i38.p1",-0.470173271368454,0.483921925126474,0.74417664558897
"GENE.NODE_401277_length_510_cov_137.776573_g244994_i0~~NODE_401277_length_510_cov_137.776573_g244994_i0.p1",0.702447538955869,0.558079186418727,0.79484254403086
"GENE.NODE_352898_length_604_cov_53.945946_g200469_i0~~NODE_352898_length_604_cov_53.945946_g200469_i0.p1",-0.235430629079979,0.643220531324137,0.845553378076021
"GENE.NODE_99787_length_1841_cov_267.059152_g35012_i1~~NODE_99787_length_1841_cov_267.059152_g35012_i1.p1",-0.137765375394892,0.675380514958252,0.862794710626113
"GENE.NODE_123855_length_1597_cov_15.312661_g45741_i0~~NODE_123855_length_1597_cov_15.312661_g45741_i0.p1",0.230526966501374,0.704129764821738,0.876606091632339
